"Itteration";"Model";"AUC";"ALIFT";"ACC";"Lower";"Upper";"Window-size";"Clustering";"Amount of Clusters";"Silhouette";"% Ommited"
"124";"62";"ksvm";"0.624388996829942";"0.61515748031496";"92.381523695261";"30501";"35501";"5000";"OPTICS";"141";"";"0.0256135720919491"
"125";"1";"ctree";"0.970169970706451";"0.958333333333333";"97.8404319136173";"1";"5001";"5000";"OPTICS";"166";"";"0.0217222741487446"
"126";"2";"ctree";"0.953860294117647";"0.934999999999999";"97.9004199160168";"501";"5501";"5000";"OPTICS";"163";"";"0.0217153169128422"
"127";"3";"ctree";"0.954380952380952";"0.936190476190475";"96.7006598680264";"1001";"6001";"5000";"OPTICS";"162";"";"0.0216084402980614"
"128";"4";"ctree";"0.948482047835098";"0.935909090909091";"97.3605278944211";"1501";"6501";"5000";"OPTICS";"161";"";"0.0212130716270751"
"129";"5";"ctree";"0.949934619156587";"0.936052631578948";"96.5806838632274";"2001";"7001";"5000";"OPTICS";"163";"";"0.0209890698432927"
"130";"6";"ctree";"0.96340307289964";"0.945";"96.5806838632274";"2501";"7501";"5000";"OPTICS";"163";"";"0.0208128354457228"
"131";"7";"ctree";"0.954997259465385";"0.935847457627118";"96.4607078584283";"3001";"8001";"5000";"OPTICS";"162";"";"0.0214766667007877"
"132";"8";"ctree";"0.950897916066455";"0.931461538461538";"96.1007798440312";"3501";"8501";"5000";"OPTICS";"164";"";"0.0220408441443581"
"133";"9";"ctree";"0.953882903254412";"0.941964285714286";"95.0209958008398";"4001";"9001";"5000";"OPTICS";"164";"";"0.0224866050323448"
"134";"10";"ctree";"0.935042112256488";"0.91551724137931";"96.5206958608278";"4501";"9501";"5000";"OPTICS";"165";"";"0.0224941200413135"
"135";"11";"ctree";"0.943324111822947";"0.933627450980392";"96.9406118776245";"5001";"10001";"5000";"OPTICS";"170";"";"0.0229929890413481"
"136";"12";"ctree";"0.970454766064842";"0.957156862745098";"96.9406118776245";"5501";"10501";"5000";"OPTICS";"165";"";"0.0233465502930042"
"137";"13";"ctree";"0.962817016937129";"0.941428571428571";"96.7606478704259";"6001";"11001";"5000";"OPTICS";"157";"";"0.0234674802247198"
