"Itteration";"Model";"AUC";"ALIFT";"ACC";"Lower";"Upper";"Window-size";"Clustering";"Amount of Clusters";"Silhouette";"% Ommited"
"110";"48";"ksvm";"0.887408864254922";"0.875425531914893";"97.2785001511944";"23501";"28501";"5000";"yes";"3";"0.34095124824518";"1.59968006398721"
"111";"49";"ksvm";"0.934151700274065";"0.923170731707317";"97.1236230110159";"24001";"29001";"5000";"yes";"2";"0.26253806826741";"3.91921615676865"
"112";"50";"ksvm";"0.855043905137247";"0.845740740740741";"97.6631259484067";"24501";"29501";"5000";"yes";"2";"0.371258753562952";"2.31953609278145"
"113";"51";"ksvm";"0.7992812104586";"0.791551724137931";"97.5375375375375";"25001";"30001";"5000";"yes";"3";"0.360295473891988";"0.199960007998401"
"114";"52";"ksvm";"0.871032515190452";"0.861712328767123";"97.7004350528278";"25501";"30501";"5000";"yes";"4";"0.324109102822035";"6.91861627674465"
"115";"53";"ksvm";"0.861706094639776";"0.851122448979592";"97.1445746919146";"26001";"31001";"5000";"yes";"3";"0.324584205305731";"0.41991601679664"
"116";"54";"ksvm";"0.8173877781304";"0.808666666666667";"97.2847886454798";"26501";"31501";"5000";"yes";"5";"0.281237024725735";"5.55888822235553"
"117";"55";"ksvm";"0.834399390273316";"0.8239898989899";"97.0061728395062";"27001";"32001";"5000";"yes";"2";"0.233732183689905";"5.63887222555489"
"118";"56";"ksvm";"0.873589600915021";"0.864024390243902";"97.4366893143916";"27501";"32501";"5000";"yes";"2";"0.232244635392843";"5.75884823035393"
"119";"57";"ksvm";"0.858580426105438";"0.846881188118812";"96.8007602153944";"28001";"33001";"5000";"yes";"2";"0.279244504542066";"10.5978804239152"
"120";"58";"ksvm";"0.860429677521647";"0.848738317757009";"96.8693009118541";"28501";"33501";"5000";"yes";"2";"0.376775757960434";"2.61947610477904"
"121";"59";"ksvm";"0.753005708684119";"0.745326086956522";"97.2651222651223";"29001";"34001";"5000";"yes";"3";"0.209650126378313";"13.5572885422915"
"122";"60";"ksvm";"0.873350463430302";"0.86186274509804";"97.1877834895676";"29501";"34501";"5000";"yes";"2";"0.259174685967442";"1.61967606478705"
"123";"61";"ksvm";"0.856896019151319";"0.846134020618557";"97.2129657679491";"30001";"35001";"5000";"yes";"2";"0.243486294434459";"1.93961207758448"
"124";"62";"ksvm";"0.870812908496732";"0.859270833333333";"97.0534069981584";"30501";"35501";"5000";"yes";"2";"0.193366692432317";"4.55908818236352"
"125";"1";"ctree";"0.954087966657799";"0.940714285714286";"96.0407918416317";"1";"5001";"5000";"yes";"6";"-0.0164354807536413";"47.1505698860228"
"126";"2";"ctree";"0.95913321372505";"0.939038461538461";"97.2835314091681";"501";"5501";"5000";"yes";"2";"0.0458963650119672";"39.372125574885"
"127";"3";"ctree";"0.965158457426499";"0.952380952380952";"97.3713646532439";"1001";"6001";"5000";"yes";"2";"0.0541046767031492";"33.6932613477305"
"128";"4";"ctree";"0.958986863309231";"0.939590163934425";"96.9560878243513";"1501";"6501";"5000";"yes";"2";"0.0643698246637673";"37.6124775044991"
"129";"5";"ctree";"0.955558911816345";"0.938469387755102";"97.5576662143826";"2001";"7001";"5000";"yes";"2";"0.067639562689102";"21.2557488502299"
"130";"6";"ctree";"0.96885865457294";"0.95780701754386";"97.4801061007958";"2501";"7501";"5000";"yes";"4";"0.0578497823474617";"31.373725254949"
"131";"7";"ctree";"0.963390029071029";"0.952894736842105";"97.7043898509867";"3001";"8001";"5000";"yes";"2";"0.137084082856";"16.2767446510698"
"132";"8";"ctree";"0.963965567097449";"0.948731343283581";"97.3464194838241";"3501";"8501";"5000";"yes";"2";"0.18191511605549";"13.6172765446911"
"133";"9";"ctree";"0.966084692222317";"0.954117647058824";"97.1317280453258";"4001";"9001";"5000";"yes";"3";"0.217945540606827";"10.5378924215157"
"134";"10";"ctree";"0.959951218345728";"0.945281690140844";"97.6458885941645";"4501";"9501";"5000";"yes";"2";"0.371581595639742";"9.81803639272145"
"135";"11";"ctree";"0.959672578919441";"0.946486486486485";"96.1018547626532";"5001";"10001";"5000";"yes";"3";"0.344400076592782";"9.1381723655269"
"136";"12";"ctree";"0.970225796930342";"0.957077922077922";"97.1000325839036";"5501";"10501";"5000";"yes";"2";"0.282878272020052";"15.876824635073"
"137";"13";"ctree";"0.968856214562288";"0.952325581395349";"97.2652388797364";"6001";"11001";"5000";"yes";"3";"0.243436745615155";"17.9164167166567"
"138";"14";"ctree";"0.962651438240271";"0.944100000000001";"96.5957446808511";"6501";"11501";"5000";"yes";"2";"0.224052617311947";"16.7166566686663"
"139";"15";"ctree";"0.962260156269317";"0.945769230769231";"96.6718506998445";"7001";"12001";"5000";"yes";"3";"0.233326810214317";"7.11857628474305"
"140";"16";"ctree";"0.964395195242606";"0.949479166666666";"96.9046889365614";"7501";"12501";"5000";"yes";"4";"0.225946495132778";"4.21915616876625"
"141";"17";"ctree";"0.965769287145161";"0.952113402061856";"96.6891477621091";"8001";"13001";"5000";"yes";"3";"0.228145604395909";"4.27914417116577"
"142";"18";"ctree";"0.965330359733101";"0.949666666666667";"96.1636017755231";"8501";"13501";"5000";"yes";"2";"0.254094174358071";"10.7978404319136"
"143";"19";"ctree";"0.968401181877873";"0.956621621621622";"96.8269230769231";"9001";"14001";"5000";"yes";"2";"0.30841036945461";"12.8374325134973"
"144";"20";"ctree";"0.962954687989966";"0.95";"97.5221780360967";"9501";"14501";"5000";"yes";"2";"0.277841787185732";"3.85922815436912"
"145";"21";"ctree";"0.967420274946227";"0.953378378378378";"97.5033738191633";"10001";"15001";"5000";"yes";"3";"0.217066034984172";"22.1955608878224"
"146";"22";"ctree";"0.955017851346965";"0.937900000000001";"95.6617415906947";"10501";"15501";"5000";"yes";"2";"0.19268631993809";"9.17816436712657"
"147";"23";"ctree";"0.96202480992397";"0.949588235294117";"97.1900826446281";"11001";"16001";"5000";"yes";"3";"0.177185497045525";"18.5362927414517"
"148";"24";"ctree";"0.969621548797984";"0.955731707317073";"96.3763066202091";"11501";"16501";"5000";"yes";"5";"0.0833412656015058";"27.8344331133773"
"149";"25";"ctree";"0.967432192167477";"0.955";"96.3778409090909";"12001";"17001";"5000";"yes";"2";"0.0703902473710246";"31.0337932413517"
"150";"26";"ctree";"0.967981184434849";"0.954195402298851";"96.6410076976907";"12501";"17501";"5000";"yes";"2";"0.056244860762904";"28.5542891421716"
"151";"27";"ctree";"0.953804060566489";"0.936549295774648";"96.0188356164384";"13001";"18001";"5000";"yes";"5";"-0.053103101823593";"59.8280343931214"
"152";"28";"ctree";"0.964514962480788";"0.953095238095238";"96.509321697739";"13501";"18501";"5000";"yes";"2";"0.0305435194380884";"48.7702459508098"
"153";"29";"ctree";"0.965936285127836";"0.950844155844156";"96.8473255402054";"14001";"19001";"5000";"yes";"3";"0.0650578445951276";"30.6338732253549"
"154";"30";"ctree";"0.971324569560063";"0.958896103896104";"96.8915343915344";"14501";"19501";"5000";"yes";"2";"0.142429356343479";"18.5762847430514"
"155";"31";"ctree";"0.970285876095735";"0.958076923076923";"96.9394128669582";"15001";"20001";"5000";"yes";"2";"0.16996713935904";"7.91841631673665"
"156";"32";"ctree";"0.962454988539286";"0.944569892473118";"97";"15501";"20501";"5000";"yes";"4";"0.169634355597411";"14.0171965606879"
"157";"33";"ctree";"0.955901463681547";"0.943351648351648";"97.2510895072075";"16001";"21001";"5000";"yes";"3";"0.227594563843196";"21.0157968406319"
"158";"34";"ctree";"0.9592521861813";"0.943461538461539";"96.6453674121406";"16501";"21501";"5000";"yes";"2";"0.282434307243856";"12.2375524895021"
"159";"35";"ctree";"0.941122066659734";"0.924902912621358";"96.2625628140703";"17001";"22001";"5000";"yes";"2";"0.327429476326917";"8.97820435912817"
"160";"36";"ctree";"0.952449018486754";"0.934797979797982";"95.7453514024582";"17501";"22501";"5000";"yes";"2";"0.359262905059616";"9.65806838632274"
"161";"37";"ctree";"0.928303410601585";"0.914753086419753";"95.0749464668094";"18001";"23001";"5000";"yes";"3";"0.0807880367686648";"31.9136172765447"
"162";"38";"ctree";"0.962747861797743";"0.94974358974359";"96.297520661157";"18501";"23501";"5000";"yes";"2";"0.174521798224959";"18.496300739852"
"163";"39";"ctree";"0.908666638209473";"0.889938271604938";"96.274217585693";"19001";"24001";"5000";"yes";"3";"0.0790821829719687";"38.9522095580884"
"164";"40";"ctree";"0.9635477582846";"0.950679012345679";"97.5536091815162";"19501";"24501";"5000";"yes";"2";"0.529842838444071";"1.33973205358928"
"165";"41";"ctree";"0.960138363337538";"0.946481481481481";"97.5536091815162";"20001";"25001";"5000";"yes";"2";"0.518286794400057";"1.33973205358928"
"166";"42";"ctree";"0.959759966364714";"0.945987654320988";"97.5536091815162";"20501";"25501";"5000";"yes";"2";"0.503171427573857";"1.33973205358928"
"167";"43";"ctree";"0.96416695333104";"0.951296296296296";"96.1038961038961";"21001";"26001";"5000";"yes";"2";"0.493332226108665";"1.33973205358928"
"168";"44";"ctree";"0.963352317790753";"0.950487804878049";"95.9830866807611";"21501";"26501";"5000";"yes";"2";"0.479191384348971";"1.33973205358928"
"169";"45";"ctree";"0.953726830170789";"0.937314814814814";"96.5569314406524";"22001";"27001";"5000";"yes";"2";"0.464641646486098";"1.33973205358928"
"170";"46";"ctree";"0.949687408672332";"0.930045871559632";"96.1038961038961";"22501";"27501";"5000";"yes";"2";"0.446081672261643";"1.33973205358928"
"171";"47";"ctree";"0.958544571187157";"0.940454545454548";"96.7434715821813";"23001";"28001";"5000";"yes";"3";"0.242968718160042";"4.69906018796241"
"172";"48";"ctree";"0.958539444146453";"0.942765957446808";"97.1575446023586";"23501";"28501";"5000";"yes";"3";"0.34095124824518";"1.59968006398721"
"173";"49";"ctree";"0.964872996187589";"0.950975609756097";"96.4198286413709";"24001";"29001";"5000";"yes";"2";"0.26253806826741";"3.91921615676865"
"174";"50";"ctree";"0.968928376623875";"0.955";"97.2382397572079";"24501";"29501";"5000";"yes";"2";"0.371258753562952";"2.31953609278145"
"175";"51";"ctree";"0.960491385512917";"0.945574712643678";"96.8768768768769";"25001";"30001";"5000";"yes";"3";"0.360295473891988";"0.199960007998401"
"176";"52";"ctree";"0.965984275976218";"0.95486301369863";"97.1410814170292";"25501";"30501";"5000";"yes";"4";"0.324109102822035";"6.91861627674465"
"177";"53";"ctree";"0.956083579297312";"0.941734693877552";"97.0544033663962";"26001";"31001";"5000";"yes";"3";"0.324584205305731";"0.41991601679664"
"178";"54";"ctree";"0.937697027398709";"0.922111111111111";"97.2230792965134";"26501";"31501";"5000";"yes";"5";"0.281237024725735";"5.55888822235553"
"179";"55";"ctree";"0.944333497342093";"0.929444444444445";"96.2345679012346";"27001";"32001";"5000";"yes";"2";"0.233732183689905";"5.63887222555489"
"180";"56";"ctree";"0.962900707904417";"0.949146341463415";"96.046942557134";"27501";"32501";"5000";"yes";"2";"0.232244635392843";"5.75884823035393"
